State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
TAMIL NADU,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,3,0,1,0,4
TRIPURA,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,4,1,0,0,5
UTTAR PRADESH,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,130,32,5,0,167
UTTARAKHAND,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,2,1,0,0,3
WEST BENGAL,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,5,4,1,0,10
TOT (STATES),OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),20,456,203,52,4,735
A & N ISLANDS,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
CHANDIGARH,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,1,0,0,0,1
D & N HAVELI,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
DAMAN & DIU,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
DELHI,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
LAKSHADWEEP,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,0,0,0
PUDUCHERRY,OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,0,0,1,0,1
TOT (UTS),OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),0,1,0,1,0,2
TOT (ALL INDIA),OBSCENE PUBLICATION OR TRANSMISSION IN ELECTRONIC FORM (SECTION 67 IT ACT),20,457,203,53,4,737
ANDHRA PRADESH,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
ARUNACHAL PRADESH,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
ASSAM,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
BIHAR,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
CHHATTISGARH,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
GOA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
GUJARAT,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
HARYANA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
HIMACHAL PRADESH,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
JAMMU & KASHMIR,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
